Name,Record,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Dashon Johnson,9-2-0,"5' 7""",145 lbs.,--,Orthodox,"Jan 25, 1988",1.01,69%,3.83,35%,0.85,33%,63%,0.8
Timothy Johnson,12-4-0,"6' 3""",265 lbs.,"77""",Southpaw,"Mar 13, 1985",3.43,45%,3.08,44%,1.09,24%,69%,0.0
Tony Johnson,11-3-0,"6' 1""",265 lbs.,--,,--,2.00,53%,4.73,31%,2.00,22%,0%,0.0
Jordan Johnson,10-0-0,"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988",3.45,47%,2.64,53%,3.25,42%,100%,1.2
Taylor Johnson,5-1-0,"6' 0""",185 lbs.,"74""",Switch,"Nov 09, 1990",5.09,60%,1.13,33%,8.49,100%,100%,0.0
Chad Johnson,6-2-0,"6' 2""",230 lbs.,"80""",Orthodox,"Jul 22, 1986",5.92,68%,7.80,40%,0.00,0%,0%,0.0
Jose Johnson,15-7-0,"6' 0""",135 lbs.,"71""",Orthodox,"May 20, 1995",2.17,63%,1.33,55%,0.50,50%,30%,0.5
Charles Johnson,13-5-0,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",4.23,52%,3.75,54%,0.23,14%,54%,0.2
Brian Johnston,5-5-0,"6' 3""",230 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Liana Jojua,8-5-0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 22, 1995",2.42,30%,5.32,54%,1.71,66%,50%,1.3
Daniel Jolly,5-3-0,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 03, 1984",1.32,46%,3.39,44%,2.83,33%,50%,0.0
Paul Jones,11-1-1,"5' 9""",199 lbs.,--,Orthodox,"Jun 16, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jon Jones,27-1-0 (1 NC),"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",4.29,57%,2.22,64%,1.93,45%,95%,0.5
Nathan Jones,0-1-0,"6' 11""",345 lbs.,--,Orthodox,"Aug 21, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcus Jones,4-2-0,"6' 6""",265 lbs.,--,Orthodox,"Aug 15, 1973",1.94,52%,2.71,58%,8.71,75%,0%,2.9
Carlton Jones,1-4-0,"6' 1""",225 lbs.,--,Orthodox,--,2.32,41%,3.58,56%,4.02,50%,57%,2.7
Jesse Jones,2-1-0,"5' 9""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tito Jones,11-8-0,"5' 8""",145 lbs.,--,Southpaw,"Jul 31, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roy Jones,7-5-0,--,205 lbs.,--,,"Oct 26, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin Jones,9-2-0,"5' 11""",185 lbs.,--,Orthodox,"Sep 06, 1987",1.70,36%,3.17,45%,1.00,15%,46%,0.5
Ben Jones,4-4-0 (1 NC),--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Victor Jones,1-3-0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Jones,10-5-0,"5' 9""",149 lbs.,--,,"Nov 16, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roshaun Jones,2-6-0,"5' 8""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jamelle Jones,7-5-0,"6' 0""",205 lbs.,"75""",Orthodox,"Jan 31, 1988",1.78,80%,3.11,65%,0.00,0%,0%,0.0
Antonio Jones,6-1-0,"5' 11""",185 lbs.,--,Orthodox,"Apr 12, 1985",7.50,55%,30.00,42%,0.00,0%,0%,0.0
Trevin Jones,13-10-0 (1 NC),"5' 7""",135 lbs.,"70""",Southpaw,"Aug 04, 1990",2.13,37%,4.29,39%,0.62,15%,60%,0.2
Mason Jones,11-2-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,"Apr 26, 1995",5.61,44%,4.94,46%,3.16,45%,80%,0.0
Jocelyn Jones-Lybarger,6-4-0,"5' 7""",115 lbs.,"64""",Orthodox,"Oct 04, 1985",2.96,31%,4.83,56%,0.34,25%,81%,0.0
Kevin Jordan,11-9-0,"6' 3""",245 lbs.,--,Orthodox,"Dec 31, 1970",2.00,40%,1.91,55%,0.00,0%,77%,0.6
Joe Jordan,49-14-2,"5' 6""",155 lbs.,--,Orthodox,"Jul 27, 1978",1.85,25%,4.27,59%,0.00,0%,66%,0.0
Shawn Jordan,19-8-0,"6' 0""",260 lbs.,"75""",Southpaw,"Oct 21, 1984",2.87,50%,3.30,47%,1.97,38%,76%,0.1
Ivan Jorge,27-7-0,"5' 9""",155 lbs.,"73""",Orthodox,"Nov 07, 1980",3.41,49%,2.91,59%,1.56,16%,75%,0.6
Scott Jorgensen,15-12-0,"5' 5""",135 lbs.,"66""",Orthodox,"Sep 17, 1982",3.37,40%,3.41,65%,2.61,45%,59%,0.7
Gareth Joseph,9-5-0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dwight Joseph,5-0-0,"5' 6""",135 lbs.,--,Switch,"Aug 16, 1989",2.60,52%,2.87,55%,1.00,20%,20%,1.0
Jeff Joslin,5-3-0,"6' 0""",170 lbs.,--,Orthodox,"Apr 30, 1975",2.17,39%,1.57,65%,0.50,33%,64%,0.5
Krzysztof Jotko,24-6-0,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",2.98,42%,2.23,57%,1.33,39%,82%,0.1
Alan Jouban,17-7-0,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",5.67,50%,3.77,60%,0.51,44%,58%,0.3
Charles Jourdain,14-6-1,"5' 9""",145 lbs.,"69""",Switch,"Nov 27, 1995",5.78,49%,4.30,57%,0.10,16%,48%,0.4
Mike Joy,11-8-0,"5' 6""",155 lbs.,--,Southpaw,"Jul 18, 1985",0.57,33%,1.71,47%,0.78,33%,0%,2.3
Dustin Joynson,5-0-0 (1 NC),"6' 6""",244 lbs.,"78""",Orthodox,"Oct 14, 1985",3.28,53%,5.63,47%,0.00,0%,0%,0.0
Tony Juarez,1-12-0,--,155 lbs.,--,,--,0.89,25%,10.34,38%,4.43,100%,66%,0.0
Jesse Juarez,23-12-0,"6' 1""",170 lbs.,--,Orthodox,"May 08, 1981",1.71,48%,2.87,52%,2.69,33%,50%,0.0
Anshul Jubli,7-0-0,"6' 0""",155 lbs.,"69""",Switch,"Jan 13, 1995",5.69,42%,4.80,53%,1.26,33%,60%,0.6
Steve Judson,0-2-0,"5' 11""",230 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luke Jumeau,13-5-0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 12, 1988",2.93,43%,3.17,58%,0.25,100%,86%,0.0
Bu-Kyung Jung,0-4-0,"5' 7""",154 lbs.,--,Orthodox,"May 26, 1978",0.63,36%,1.85,56%,1.10,75%,0%,1.5
Chan Sung Jung,17-7-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",3.97,42%,4.35,52%,0.74,47%,72%,0.7
Young Sam Jung,4-8-0,"5' 8""",139 lbs.,--,Orthodox,"Oct 27, 1985",0.53,9%,2.79,63%,0.00,0%,0%,2.0
Da Woon Jung,15-4-1,"6' 4""",205 lbs.,"78""",Orthodox,"Dec 07, 1993",3.39,42%,3.53,52%,2.10,50%,80%,0.2
Scott Junk,8-3-1 (1 NC),"6' 1""",265 lbs.,--,Orthodox,"Dec 17, 1978",5.13,60%,1.81,45%,0.00,0%,0%,0.0
Myles Jury,17-4-0,"5' 10""",145 lbs.,"73""",Orthodox,"Oct 31, 1988",2.94,42%,2.16,66%,2.16,55%,50%,0.3
Cristiane Justino,21-2-0 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",7.28,52%,2.25,64%,0.66,55%,94%,0.4
Patrick Kaase,1-2-0,"5' 9""",185 lbs.,--,,--,4.40,67%,0.53,50%,0.00,0%,50%,0.0
Emily Kagan,3-3-0,"5' 3""",115 lbs.,--,,"Jul 14, 1981",2.60,36%,5.29,38%,1.86,14%,50%,0.0
Oron Kahlon,16-1-0,"5' 8""",135 lbs.,"70""",Orthodox,"Nov 04, 1984",0.85,37%,4.93,36%,0.00,0%,40%,0.0
Sirwan Kakai,12-5-0,"5' 5""",135 lbs.,--,Orthodox,"Oct 03, 1989",3.57,41%,4.63,62%,4.00,42%,83%,0.0
Saidyokub Kakhramonov,10-3-0,"5' 8""",135 lbs.,"69""",Orthodox,"Nov 14, 1995",2.05,51%,0.88,58%,6.63,48%,83%,1.9
Geza Kalman,4-9-0,"6' 1""",200 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bryson Kamaka,12-20-1 (1 NC),"5' 11""",170 lbs.,--,Orthodox,--,9.47,60%,12.63,0%,0.00,0%,100%,0.0
Kai Kamaka,8-4-1,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",4.96,57%,5.29,55%,1.93,58%,52%,0.3
Shuya Kamikubo,12-1-1,"5' 5""",135 lbs.,--,Switch,"Apr 12, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Martin Kampmann,20-7-0,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",3.22,42%,3.28,62%,1.86,41%,78%,2.0
Kouya Kanda,11-4-0,"5' 9""",145 lbs.,--,Southpaw,"Dec 20, 1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bharat Kandare,5-3-0,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987",0.70,10%,1.88,72%,0.00,0%,0%,0.0
Hiromitsu Kanehara,19-27-5,"5' 10""",200 lbs.,--,Orthodox,"Oct 05, 1970",0.76,22%,4.39,40%,0.00,0%,40%,0.4
Masanori Kanehara,26-12-5,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",1.88,49%,1.63,62%,1.44,50%,63%,0.9
Ken Kaneko,0-3-0,"6' 0""",161 lbs.,--,Orthodox,--,0.00,0%,0.94,42%,0.00,0%,0%,3.5
Denis Kang,35-16-2 (2 NC),"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",2.27,35%,1.65,67%,2.51,65%,38%,1.2
Kyung Ho Kang,18-9-0 (1 NC),"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",2.99,48%,2.87,58%,2.00,55%,70%,0.8
Manel Kape,18-6-0,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993",4.46,52%,3.92,54%,0.56,28%,69%,0.6
David Kaplan,3-4-0,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979",2.88,46%,4.32,67%,4.88,43%,0%,0.7
Kai Kara-France,24-10-0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",4.70,40%,3.57,64%,0.51,25%,87%,0.0
Georgi Karakhanyan,26-7-1,"5' 8""",145 lbs.,--,,"May 29, 1985",4.49,39%,5.00,54%,1.41,50%,33%,1.9
Alex Karalexis,10-6-0,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",2.57,42%,2.39,54%,2.70,45%,86%,0.9
Impa Kasanganay,9-2-0,"5' 11""",170 lbs.,"75""",Orthodox,"Jan 17, 1994",4.96,48%,3.66,58%,1.75,58%,66%,0.2
Jinnosuke Kashimura,4-2-0,"5' 7""",155 lbs.,"71""",Southpaw,"Aug 12, 2001",0.21,50%,7.37,25%,3.16,100%,0%,6.3
Nadia Kassem,5-2-0,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995",3.13,41%,4.48,48%,0.46,33%,40%,2.8
Yusuke Kasuya,9-3-0,"5' 7""",155 lbs.,--,Southpaw,"Nov 16, 1989",2.17,44%,4.34,48%,1.36,33%,0%,0.0
Tetsuji Kato,20-10-0,--,155 lbs.,--,Orthodox,--,1.20,29%,2.10,70%,2.00,57%,80%,0.5
Hisaki Kato,8-2-0,"6' 0""",185 lbs.,--,,"Sep 17, 1982",2.80,48%,1.72,68%,1.62,100%,0%,0.0
Brad Katona,8-2-0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991",3.33,51%,2.98,57%,1.25,22%,47%,0.0
Calvin Kattar,23-7-0,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",5.12,39%,7.10,54%,0.42,29%,91%,0.1
Sarah Kaufman,18-4-0 (1 NC),"5' 5""",135 lbs.,"66""",Orthodox,"Sep 20, 1985",6.65,46%,4.00,62%,0.38,57%,81%,0.0
Yusuke Kawaguchi,18-12-0,"6' 0""",255 lbs.,--,,"Aug 14, 1980",2.87,47%,3.93,50%,0.00,0%,72%,0.0
Canaan Kawaihae,6-2-0 (1 NC),"6' 0""",145 lbs.,"71""",Southpaw,"Aug 26, 1997",2.83,51%,4.59,36%,0.00,0%,100%,0.0
Tatsuya Kawajiri,36-11-2,"5' 7""",145 lbs.,"69""",Orthodox,"May 08, 1978",2.04,44%,2.01,50%,3.63,48%,63%,1.1
Ryo Kawamura,18-9-4,"5' 11""",205 lbs.,--,Orthodox,"Jun 29, 1981",0.60,16%,3.93,39%,0.00,0%,6%,0.0
Doug Kay,0-0-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Toshiomi Kazama,10-3-0,"5' 7""",135 lbs.,"69""",Orthodox,"May 15, 1997",1.87,58%,2.12,50%,1.93,15%,66%,0.0
Julie Kedzie,16-13-0,"5' 5""",135 lbs.,--,Orthodox,"Mar 18, 1981",2.90,36%,3.18,46%,1.14,23%,78%,0.0
Ryan Keenan,6-2-0,"5' 10""",170 lbs.,--,,"Jun 15, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
CJ Keith,8-4-0,"6' 0""",155 lbs.,--,Orthodox,"Aug 09, 1986",0.86,50%,1.82,50%,0.00,0%,62%,0.0
Chris Kelades,9-3-0,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981",2.40,43%,2.64,48%,1.04,18%,53%,0.3
Brian Kelleher,24-14-0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",3.36,41%,4.61,54%,1.79,42%,60%,0.7
Mayana Kellem,7-1-0,"5' 5""",135 lbs.,--,Orthodox,"Jul 07, 1981",1.94,22%,2.90,62%,0.00,0%,0%,0.0
Tony Kelley,8-3-0,"5' 9""",135 lbs.,"70""",Switch,"Jan 21, 1987",5.55,47%,4.85,45%,0.00,0%,52%,1.4
Paul Kelly,14-5-0,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",3.22,37%,2.61,59%,1.34,60%,30%,1.5
John Kelly,5-4-0,"5' 9""",170 lbs.,--,,"Aug 02, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Daniel Kelly,13-4-0,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",3.62,38%,4.64,61%,1.86,34%,78%,0.3
Tim Kennedy,18-6-0,"5' 11""",185 lbs.,"74""",Orthodox,"Sep 01, 1979",2.78,47%,1.84,62%,2.58,35%,70%,0.7
Steve Kennedy,24-8-0,"5' 11""",170 lbs.,--,Orthodox,"Mar 07, 1983",2.28,35%,5.52,45%,2.51,33%,0%,0.0
Jeremy Kennedy,11-1-0,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 16, 1992",2.22,46%,2.58,47%,5.73,52%,66%,0.0
Waylon Kennell,6-2-0,"6' 0""",185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Casey Kenney,16-4-1,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 20, 1991",4.85,42%,4.67,58%,1.09,35%,61%,0.4
Maimaitituoheti Keremuaili,26-11-0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 18, 1991",1.47,52%,1.67,37%,1.00,33%,84%,0.0
Aurelijus Kerpe,11-22-0,--,--,--,Orthodox,--,1.26,16%,8.21,31%,0.00,0%,0%,0.0
Mark Kerr,15-11-0 (1 NC),"6' 3""",266 lbs.,--,Switch,"Dec 21, 1968",0.28,41%,0.89,28%,2.92,77%,0%,0.4
Will Kerr,9-3-0,"5' 10""",155 lbs.,"69""",Orthodox,"Oct 21, 1982",1.91,42%,6.22,33%,0.00,0%,0%,14.3
Ron Keslar,11-9-0,--,185 lbs.,--,,--,0.00,0%,2.05,60%,0.00,0%,100%,7.7
Rustam Khabilov,24-4-0,"5' 8""",155 lbs.,"73""",Orthodox,"Nov 04, 1986",1.98,34%,2.16,65%,3.95,41%,61%,0.1
Adam Khaliev,6-0-0,"6' 0""",170 lbs.,--,Orthodox,"Apr 16, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sergey Khandozhko,28-6-1,"6' 1""",170 lbs.,"74""",Orthodox,"May 19, 1992",3.41,41%,2.37,60%,0.76,28%,61%,0.0
Sergei Kharitonov,26-6-0,"6' 0""",245 lbs.,--,Orthodox,"Aug 18, 1980",3.90,44%,3.03,54%,1.16,53%,70%,1.0
Alfred Khashakyan,8-3-0,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988",6.14,42%,6.38,40%,3.54,25%,0%,0.0
Aliaskhab Khizriev,14-0-0,"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",6.03,64%,4.36,62%,5.77,60%,100%,3.9
WonBin Ki,17-8-0,"5' 11""",155 lbs.,"73""",Orthodox,"Feb 11, 1991",6.32,61%,2.15,60%,0.00,0%,0%,0.0
Pannie Kianzad,17-6-0,"5' 7""",135 lbs.,"66""",Orthodox,"Dec 08, 1991",5.32,49%,4.12,53%,0.40,30%,80%,0.1
Akira Kikuchi,16-4-0,"5' 8""",155 lbs.,--,Orthodox,"Jul 23, 1978",3.67,56%,0.40,14%,2.00,40%,100%,0.0
Katsunori Kikuno,24-8-2,"5' 8""",145 lbs.,"66""",Orthodox,"Oct 31, 1981",2.64,40%,2.47,61%,1.88,75%,76%,0.8
Sanae Kikuta,31-9-3 (1 NC),"5' 9""",200 lbs.,--,Orthodox,"Sep 10, 1971",0.70,45%,0.90,52%,1.60,63%,25%,1.8
Jacob Kilburn,8-4-0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 28, 1995",2.56,33%,6.78,35%,0.51,5%,20%,0.5
Dong Hyun Kim,22-4-1 (1 NC),"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",2.12,49%,1.89,58%,2.93,43%,71%,0.6
Jin Oh Kim,0-4-0,"5' 9""",205 lbs.,--,Orthodox,--,5.06,25%,8.43,50%,0.00,0%,66%,0.0
Dae Won Kim,11-7-0,"5' 11""",180 lbs.,--,Orthodox,--,1.75,32%,2.51,36%,3.43,42%,0%,0.0
Jong Wang Kim,13-23-0,"6' 1""",240 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jong Won Kim,0-1-0,"5' 7""",139 lbs.,--,Orthodox,--,0.84,15%,3.28,63%,2.81,100%,0%,0.0
Min Soo Kim,3-7-0,"6' 1""",255 lbs.,--,Southpaw,"Jan 22, 1975",0.87,100%,3.48,20%,0.00,0%,0%,0.0
Jong Man Kim,23-11-3 (1 NC),"5' 7""",139 lbs.,--,Orthodox,"Mar 03, 1978",1.33,21%,3.00,60%,0.00,0%,0%,0.0
Ji Yeon Kim,9-7-2,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",5.37,36%,5.41,56%,0.00,0%,50%,0.1
MinWoo Kim,10-2-0,"5' 8""",135 lbs.,"72""",Orthodox,"Jul 21, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
HanSeul Kim,13-4-0,"6' 1""",170 lbs.,"75""",Southpaw,"Jun 19, 1990",6.28,55%,3.90,47%,0.00,0%,0%,9.8
KyeungPyo Kim,11-4-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 29, 1992",6.77,46%,6.32,63%,3.87,40%,100%,0.0
SangUk Kim,7-2-0,"6' 0""",155 lbs.,--,Orthodox,"Oct 17, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
SangWon Kim,9-5-1,"5' 9""",145 lbs.,--,Orthodox,"Sep 01, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jeremy Kimball,15-8-0,"6' 0""",205 lbs.,"72""",Switch,"Jan 03, 1991",2.81,46%,3.84,49%,1.41,20%,50%,0.0
Rob Kimmons,25-9-0,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",1.86,48%,4.79,38%,2.08,46%,25%,2.4
Dustin Kimura,11-3-0,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989",1.33,21%,3.82,51%,0.93,37%,50%,2.2
Taiei Kin,6-3-0,"5' 11""",185 lbs.,--,Orthodox,"Jul 08, 1970",2.71,60%,1.33,52%,0.00,0%,55%,0.0
Mike King,5-1-0,"6' 3""",185 lbs.,--,,"Aug 04, 1983",4.44,58%,1.29,72%,1.75,25%,40%,3.5
Kyle Kingsbury,11-6-0 (1 NC),"6' 4""",205 lbs.,"79""",Orthodox,"Mar 22, 1982",2.97,40%,3.81,51%,2.64,41%,52%,0.0
Yusaku Kinoshita,6-2-0,"6' 0""",170 lbs.,"71""",Southpaw,"Aug 21, 2000",4.70,57%,3.79,50%,0.00,0%,42%,0.0
Kamuela Kirk,12-5-0,"5' 10""",155 lbs.,"75""",Switch,"Apr 13, 1994",2.99,49%,5.10,37%,0.86,40%,53%,1.3
Yurij Kiseliov,5-4-0,"5' 8""",185 lbs.,--,Orthodox,--,4.88,87%,0.00,0%,0.00,0%,50%,0.0
Justine Kish,7-4-0,"5' 5""",125 lbs.,"64""",Orthodox,"Apr 13, 1988",4.51,48%,4.59,57%,0.87,33%,50%,0.1
Koji Kitao,1-2-0,"6' 7""",350 lbs.,--,Southpaw,"Oct 12, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Satoru Kitaoka,40-14-9,"5' 6""",154 lbs.,--,,"Feb 04, 1980",0.68,33%,2.15,45%,0.62,10%,27%,2.1
Top Noi Kiwram,9-4-0,"5' 5""",125 lbs.,"67""",Southpaw,"Aug 15, 1992",5.36,63%,3.32,69%,0.00,0%,80%,0.0
Ludovit Klein,19-4-1,"5' 7""",155 lbs.,"72""",Southpaw,"Feb 22, 1995",3.44,54%,3.67,49%,1.22,40%,81%,0.0
Seth Kleinbeck,8-4-0,"6' 2""",185 lbs.,--,,"Jul 25, 1973",2.55,33%,2.42,40%,0.98,25%,90%,0.0
Stefan Klever,6-1-0,--,185 lbs.,--,Orthodox,--,0.82,50%,3.84,58%,0.00,0%,0%,0.0
Felix Klinkhammer,7-0-0,"6' 0""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Drakkar Klose,13-2-1,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",4.38,55%,3.44,52%,1.80,30%,69%,0.0
Michael Knaap,18-22-3,"6' 2""",220 lbs.,--,Orthodox,"Feb 27, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kevin Knabjian,12-7-1,"5' 10""",170 lbs.,--,Orthodox,"Jul 05, 1984",0.00,0%,15.56,22%,0.00,0%,100%,0.0
Jason Knight,20-5-0,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992",2.95,33%,3.02,51%,1.31,31%,47%,1.7
William Knight,11-5-0,"5' 10""",205 lbs.,"73""",Orthodox,"Apr 03, 1988",2.62,56%,3.30,35%,1.78,40%,48%,0.4
Josefine Knutsson,4-0-0,"5' 3""",115 lbs.,"61""",Orthodox,"Jan 16, 1996",2.27,44%,0.33,84%,4.00,100%,100%,0.0
Isao Kobayashi,21-4-4,"5' 8""",145 lbs.,--,,"Oct 28, 1988",1.01,33%,1.66,45%,2.17,100%,100%,0.0
Kelly Kobold,19-3-1,"5' 6""",135 lbs.,--,Orthodox,"Feb 25, 1983",2.33,21%,4.11,59%,1.67,11%,0%,0.0
Erik Koch,16-6-0,"5' 10""",170 lbs.,"71""",Southpaw,"Oct 04, 1988",2.33,42%,2.82,47%,1.02,42%,81%,1.0
Sokun Koh,4-1-0,"6' 1""",205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Shingo Kohara,1-0-0,"5' 6""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brad Kohler,12-15-0,"5' 9""",220 lbs.,--,Orthodox,"May 26, 1964",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Charlie Kohler,8-4-1,"5' 9""",155 lbs.,--,Orthodox,"Jul 16, 1976",0.81,33%,4.31,46%,0.00,0%,0%,4.0
Tsuyoshi Kohsaka,27-19-2,"5' 11""",225 lbs.,--,Orthodox,"Mar 06, 1970",1.88,38%,4.41,54%,1.32,20%,33%,0.4
Kaloyan Kolev,10-1-0,"6' 2""",205 lbs.,"73""",Orthodox,"Oct 17, 1992",1.12,45%,4.49,42%,10.11,60%,0%,0.0
John Kolosci,15-9-0,"5' 11""",185 lbs.,--,Orthodox,"Nov 26, 1974",0.21,20%,0.85,50%,0.00,0%,0%,0.0
Yuki Kondo,60-33-9,"5' 11""",183 lbs.,--,Southpaw,"Jul 17, 1975",1.14,42%,2.57,51%,0.76,41%,37%,0.5
Syuri Kondo,6-3-0,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",5.40,44%,7.22,58%,0.00,0%,83%,0.3
Cheick Kongo,27-10-2,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975",3.33,56%,1.28,54%,2.30,56%,52%,0.2
Andrei Kopylov,6-11-0,"6' 2""",265 lbs.,--,Orthodox,"Jul 16, 1965",0.33,66%,4.31,40%,0.00,0%,0%,0.0
Roman Kopylov,10-2-0,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1991",4.54,50%,3.96,60%,0.62,50%,89%,0.0
Bruno Korea,7-3-0,"5' 6""",135 lbs.,"65""",,"Jun 28, 1991",2.12,34%,3.96,42%,0.00,0%,25%,0.0
Andrey Koreshkov,19-2-0,"6' 0""",170 lbs.,--,,"Aug 23, 1990",2.84,39%,1.92,63%,4.80,53%,0%,0.0
Josh Koscheck,17-11-0,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 30, 1977",1.79,36%,2.27,63%,2.46,48%,64%,0.4
Steven Koslow,6-1-0,"5' 7""",125 lbs.,"69""",Switch,"Jan 22, 1997",0.77,37%,3.73,40%,5.28,55%,0%,1.1
Naoyuki Kotani,34-14-7,"5' 8""",155 lbs.,"66""",Southpaw,"Dec 08, 1981",1.02,31%,2.89,50%,0.83,16%,46%,0.8
Ilya Kotau,1-2-0,--,170 lbs.,--,,--,3.94,40%,4.38,44%,6.57,100%,100%,6.6
Iouri Kotchkine,7-4-1,"6' 2""",235 lbs.,--,Orthodox,--,0.67,38%,4.92,15%,0.00,0%,25%,0.0
Matt Kovacs,12-16-0,"6' 0""",244 lbs.,--,Orthodox,--,1.47,22%,4.87,44%,1.00,25%,0%,0.0
Marcus Kowal,3-1-1,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Karolina Kowalkiewicz,15-7-0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.65,42%,5.47,58%,0.31,30%,76%,0.2
Steve Kozola,8-0-0,--,155 lbs.,--,,--,3.90,39%,4.36,50%,2.34,100%,100%,0.0
Derrick Krantz,22-12-0,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988",2.07,37%,4.03,50%,3.18,50%,0%,0.8
