Name,Wins,Losses,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,URL
Austin Hubbard,13,6,70.0,155.0,71.0,Orthodox,1991-12-22,3.67,0.47,2.97,0.58,1.35,0.61,0.63,0.0,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed
Collin Huckbody,8,2,75.0,185.0,76.0,Orthodox,1994-09-29,2.05,0.6,2.73,0.42,10.23,1.0,0.0,20.4,http://ufcstats.com/fighter-details/f372a848d250e006
Alex Huddleston,6,2,79.0,254.0,,,1986-08-11,2.47,0.42,2.59,0.67,0.0,0.0,0.0,0.9,http://ufcstats.com/fighter-details/8b9197746bd3e005
Roger Huerta,23,9,69.0,155.0,70.0,Orthodox,1983-05-20,3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,http://ufcstats.com/fighter-details/daf1b84aebd6602b
Casey Huffman,3,1,75.0,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/737d93a42b8c2e94
Matt Hughes,45,9,69.0,170.0,73.0,Switch,1973-10-13,2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,http://ufcstats.com/fighter-details/621a6c59f88a44fe
Mark Hughes,6,2,69.0,205.0,,Southpaw,1973-10-13,0.9,0.47,0.4,0.42,3.0,0.5,0.0,4.5,http://ufcstats.com/fighter-details/d62bb4d84a7267ba
Jeff Hughes,10,4,74.0,250.0,77.0,Orthodox,1988-05-17,3.95,0.51,3.67,0.6,0.71,0.5,0.45,0.0,http://ufcstats.com/fighter-details/6a11e325aa60ad02
Sam Hughes,7,5,65.0,115.0,64.0,Orthodox,1992-06-28,3.93,0.47,4.88,0.52,1.14,0.37,0.47,0.0,http://ufcstats.com/fighter-details/e94085e821bd81de
David Hulett,22,10,70.0,170.0,,,1980-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b0718335e9868cfd
Bryan Humes,6,2,,265.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b9c75e7fc910f587
Abongo Humphrey,7,3,71.0,205.0,,Orthodox,,1.45,0.4,3.83,0.46,1.41,0.37,0.33,3.8,http://ufcstats.com/fighter-details/cb1b4d237b0079e6
Harry Hunsucker,7,6,74.0,205.0,75.0,Orthodox,1989-01-03,3.54,0.52,6.53,0.42,0.0,0.0,0.0,2.0,http://ufcstats.com/fighter-details/f703250471acaf96
Mark Hunt,13,14,70.0,265.0,72.0,Orthodox,1974-03-23,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,http://ufcstats.com/fighter-details/eef9b891edbd4604
Alex Hunter,2,0,69.0,226.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/baa5358456803df8
Adam Hunter,7,1,73.0,185.0,,Orthodox,1983-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/edc9eb3051f444fa
Joe Hurley,12,5,68.0,155.0,,,1978-06-24,1.12,0.45,3.35,0.56,0.0,0.0,0.2,0.0,http://ufcstats.com/fighter-details/21b54430c8eeb9cc
Solomon Hutcherson,11,7,71.0,185.0,,Southpaw,1972-08-31,2.59,0.39,2.59,0.64,3.53,1.0,0.0,0.0,http://ufcstats.com/fighter-details/155bfc7ed36622df
Young Hwang,8,5,69.0,135.0,,,1988-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8588d14c4952b9fa
Al Iaquinta,14,7,70.0,155.0,70.0,Orthodox,1987-04-30,4.06,0.4,4.53,0.61,0.63,0.18,0.74,0.2,http://ufcstats.com/fighter-details/59279a7c978f7da0
Khadis Ibragimov,8,4,75.0,205.0,78.0,Orthodox,1995-05-21,3.55,0.49,4.26,0.47,0.97,0.3,0.8,0.3,http://ufcstats.com/fighter-details/c3218c810959d279
Minoki Ichihara,0,1,67.0,178.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4565d435005319c0
Dan Ige,16,6,67.0,145.0,71.0,Orthodox,1991-08-06,3.8,0.45,3.58,0.57,1.25,0.26,0.52,0.3,http://ufcstats.com/fighter-details/82a5152216251682
Valeri Ignatov,1,2,69.0,170.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7b6ce3a9460565b5
Sergey Ignatov,0,1,69.0,210.0,,Orthodox,,0.35,0.5,3.25,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/df9e9c1f65805d29
Fabiano Iha,9,5,68.0,155.0,,Orthodox,1970-07-28,1.73,0.47,2.49,0.42,2.88,0.4,0.5,2.9,http://ufcstats.com/fighter-details/263ebd4a669e1e98
Seichi Ikemoto,21,19,71.0,168.0,,Orthodox,1975-08-24,2.59,0.32,3.74,0.57,1.23,0.26,0.6,0.0,http://ufcstats.com/fighter-details/81f38d1640c4e70d
Mikhail Iloukhine,30,11,69.0,205.0,,Orthodox,1966-11-21,0.16,0.2,2.95,0.26,0.0,0.0,0.0,7.0,http://ufcstats.com/fighter-details/b71667c778b6d9e5
Zelim Imadaev,8,3,72.0,170.0,76.0,Orthodox,1995-01-25,2.91,0.36,4.35,0.43,0.38,0.5,0.6,0.0,http://ufcstats.com/fighter-details/7f0f171414d0a287
Yusuke Imamura,2,6,68.0,220.0,,Orthodox,,0.18,0.5,1.83,0.52,2.75,0.5,0.0,0.0,http://ufcstats.com/fighter-details/2ce6541127b0e232
Masakazu Imanari,36,16,64.0,139.0,,Southpaw,1976-02-10,0.55,0.3,1.74,0.57,0.0,0.0,0.0,2.1,http://ufcstats.com/fighter-details/a4dd5c9a75763295
Nassourdine Imavov,12,4,75.0,185.0,75.0,Orthodox,1995-03-01,4.32,0.51,3.81,0.59,0.68,0.22,0.72,1.7,http://ufcstats.com/fighter-details/881bf86d4cba8578
Brad Imes,13,7,79.0,265.0,,Orthodox,1977-03-13,2.73,0.31,4.24,0.49,1.72,0.71,0.0,1.0,http://ufcstats.com/fighter-details/4908c5ee68a50ee5
Chris Indich,6,4,70.0,170.0,,,1987-04-22,1.31,0.3,4.32,0.43,0.75,0.5,0.5,1.5,http://ufcstats.com/fighter-details/d5b7fac960e58920
Chris Inman,1,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f0a381ba65d2a933
Guto Inocente,7,4,75.0,205.0,,Orthodox,1986-05-29,4.13,0.66,2.92,0.54,0.67,0.33,0.66,0.7,http://ufcstats.com/fighter-details/e7fe5315b1efeb92
Enson Inoue,12,8,70.0,210.0,,Orthodox,1967-04-15,1.7,0.63,1.88,0.3,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/0cf935519d439ba6
Egan Inoue,13,8,69.0,190.0,,Southpaw,1965-07-04,1.66,0.36,3.31,0.57,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/37a6c95201592fea
Katsuya Inoue,19,9,69.0,168.0,,Southpaw,1979-08-10,3.41,0.24,12.89,0.51,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/b5882371e2a3900d
Takeshi Inoue,23,10,68.0,145.0,,,1980-03-18,2.54,0.44,3.32,0.61,0.0,0.0,0.47,0.0,http://ufcstats.com/fighter-details/a61a0cd2829e5d4e
Naoki Inoue,11,1,69.0,125.0,71.0,Orthodox,1997-06-14,3.67,0.35,3.37,0.6,0.0,0.0,0.6,2.5,http://ufcstats.com/fighter-details/199eb7cf6ae90294
Inoue Mizuki,14,6,63.0,125.0,65.0,Orthodox,1994-08-19,5.0,0.5,6.87,0.48,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/43a59ce3bb40449e
Jorge Interiano,4,3,73.0,205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1e75e6c9de99fa76
Jason Ireland,19,9,69.0,161.0,,Southpaw,1979-12-30,1.2,0.25,2.07,0.51,3.59,0.75,0.0,1.2,http://ufcstats.com/fighter-details/05a0556072931f01
James Irvin,17,10,74.0,205.0,75.0,Orthodox,1978-09-12,2.03,0.48,3.86,0.35,0.0,0.0,0.36,0.5,http://ufcstats.com/fighter-details/a7f4d0902bb64092
Eric Irvin,11,4,68.0,155.0,,,1986-01-10,3.27,0.42,4.47,0.36,4.0,0.3,0.33,0.0,http://ufcstats.com/fighter-details/a47c2a6e24757932
Mitsuhiro Ishida,20,8,66.0,154.0,,Southpaw,1978-12-29,1.46,0.41,1.13,0.61,4.76,0.53,0.33,0.7,http://ufcstats.com/fighter-details/82f5c81f4e3c3eb5
Teruto Ishihara,10,7,67.0,135.0,69.0,Southpaw,1991-07-23,3.26,0.44,3.63,0.53,0.5,0.16,0.3,0.0,http://ufcstats.com/fighter-details/88cd34d836b4ebcd
Satoshi Ishii,15,8,71.0,240.0,,Orthodox,1986-12-19,1.41,0.36,1.58,0.63,3.47,0.52,1.0,1.6,http://ufcstats.com/fighter-details/c8a49ff2acb6f3c5
Yuki Ishikawa,0,2,71.0,205.0,,Orthodox,,1.07,0.28,8.57,0.11,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/119ebea97e914dcf
Eiji Ishikawa,29,24,70.0,170.0,,,1979-10-12,1.2,0.29,4.07,0.6,1.0,0.09,0.0,0.0,http://ufcstats.com/fighter-details/eb89dc31949a1427
Tokimitsu Ishizawa,1,5,72.0,185.0,,Orthodox,1968-08-05,1.34,0.3,2.99,0.59,2.74,0.18,0.0,0.0,http://ufcstats.com/fighter-details/f3155a94ca420126
Damir Ismagulov,24,2,70.0,155.0,74.0,Orthodox,1991-02-03,3.78,0.42,2.51,0.62,1.17,0.28,0.75,0.0,http://ufcstats.com/fighter-details/135d124172a0bea3
Wallid Ismail,9,3,67.0,205.0,,Orthodox,1968-02-23,0.92,0.31,0.83,0.44,1.85,0.28,0.0,0.5,http://ufcstats.com/fighter-details/da6dfd09cca1d705
Leandro Issa,13,6,67.0,135.0,69.0,Orthodox,1983-09-19,2.08,0.37,3.17,0.58,2.38,0.22,0.5,1.2,http://ufcstats.com/fighter-details/d1e1fdcea7c8a90a
Blagoy Ivanov,19,5,71.0,250.0,73.0,Southpaw,1986-10-09,3.29,0.4,4.01,0.54,0.78,0.4,0.7,0.1,http://ufcstats.com/fighter-details/1788eee370f077b7
Anthony Ivy,8,4,74.0,185.0,74.0,Orthodox,1990-01-23,2.5,0.42,4.57,0.51,4.69,0.2,1.0,0.0,http://ufcstats.com/fighter-details/3c5005b66696d790
Tomomi Iwama,9,6,63.0,155.0,,Orthodox,,1.0,0.2,3.0,0.7,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ac5f67109accb482
Tatsuya Iwasaki,0,1,69.0,205.0,,Orthodox,,0.79,1.0,8.68,0.38,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/243b07fc65ccbb16
Yoislandy Izquierdo,10,4,71.0,155.0,,Southpaw,1984-01-09,2.93,0.52,1.4,0.26,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/afc2a7ce0c763bd5
Hiroshi Izumi,4,2,,205.0,,Orthodox,1982-06-22,1.95,0.37,2.65,0.66,3.35,0.7,1.0,0.5,http://ufcstats.com/fighter-details/53e4e21f4c688801
Yves Jabouin,20,11,67.0,135.0,68.0,Orthodox,1979-05-30,3.06,0.41,2.93,0.62,1.94,0.6,0.82,0.1,http://ufcstats.com/fighter-details/b4eeac608fc82f88
Kevin Jackson,4,2,70.0,199.0,,Switch,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/13b2f59210dda9cc
Eugene Jackson,15,9,68.0,185.0,,Orthodox,1966-09-23,2.19,0.33,3.44,0.32,1.91,0.71,0.16,2.3,http://ufcstats.com/fighter-details/ce783bf73b5131f9
Quinton Jackson,37,12,73.0,205.0,73.0,Orthodox,1978-06-20,3.25,0.54,2.51,0.55,1.52,0.56,0.73,0.1,http://ufcstats.com/fighter-details/ffc088e64fab57e9
Jeremy Jackson,9,5,70.0,170.0,,Orthodox,1982-09-19,0.71,0.27,2.03,0.25,1.52,0.4,0.58,0.0,http://ufcstats.com/fighter-details/ad32471f01e7b1a5
Damon Jackson,22,5,71.0,145.0,71.0,Switch,1988-08-08,2.78,0.4,2.92,0.51,2.35,0.38,0.4,1.8,http://ufcstats.com/fighter-details/29af297d9f1de0f8
Kenyon Jackson,4,3,72.0,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/56c5132870a526d5
Mike Jackson,1,2,74.0,170.0,74.0,Orthodox,1985-03-22,4.49,0.57,3.73,0.62,0.71,0.33,0.88,0.0,http://ufcstats.com/fighter-details/0641c21bec209472
Jason Jackson,7,2,73.0,170.0,78.0,Orthodox,1990-10-30,2.24,0.48,1.31,0.56,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ca8da445dfa82d56
Montel Jackson,12,2,70.0,135.0,75.0,Southpaw,1992-04-24,3.39,0.54,1.4,0.63,3.54,0.71,0.67,0.3,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
Eric Jacob,1,9,,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ba17afef01ed78b6
Richard Jacobi,6,1,76.0,260.0,75.0,Orthodox,1993-09-28,0.88,0.44,3.94,0.51,3.28,1.0,1.0,0.0,http://ufcstats.com/fighter-details/46f557bd44da630e
Dustin Jacoby,18,6,75.0,205.0,76.0,Orthodox,1988-04-04,5.58,0.46,3.98,0.6,0.34,0.3,0.58,0.0,http://ufcstats.com/fighter-details/e4277e87a789d687
Justin James,13,7,70.0,155.0,,Orthodox,1976-11-08,1.34,0.36,2.68,0.5,0.0,0.0,0.5,1.6,http://ufcstats.com/fighter-details/1ea8df62b3f8fea6
Nate James,14,8,72.0,185.0,,,1978-05-29,1.33,0.42,2.67,0.28,0.0,0.0,0.44,0.0,http://ufcstats.com/fighter-details/a34fecf2f4e5a317
Virna Jandiroba,18,3,63.0,115.0,64.0,Orthodox,1988-05-30,2.45,0.38,3.19,0.57,2.31,0.38,0.73,1.1,http://ufcstats.com/fighter-details/7dda2cf308f24a02
Ryan Janes,10,3,75.0,185.0,76.0,Orthodox,1981-08-22,7.69,0.48,5.53,0.59,0.35,1.0,0.58,0.0,http://ufcstats.com/fighter-details/b59037262c8fe060
Josh Janousek,8,1,71.0,185.0,,Orthodox,1980-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8f7380fb0916dc77
Dave Jansen,20,4,69.0,155.0,73.0,Orthodox,1979-08-21,2.94,0.33,3.67,0.58,2.79,0.28,0.38,0.9,http://ufcstats.com/fighter-details/335ad945324c3a2e
Jaime Jara,38,18,73.0,205.0,,Southpaw,1969-08-02,2.2,0.6,1.47,0.56,0.0,0.0,0.25,0.0,http://ufcstats.com/fighter-details/805ad1801eb26abb
Gigo Jara,6,9,69.0,145.0,,,,2.26,0.57,2.71,0.51,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/99d5cf1eda8b25c1
Keith Jardine,17,11,74.0,185.0,76.0,Orthodox,1975-10-31,3.25,0.36,2.98,0.59,1.18,0.45,0.62,0.7,http://ufcstats.com/fighter-details/b9d0fd83bb8a147a
Brock Jardine,12,6,71.0,170.0,,Orthodox,1985-07-10,1.06,0.3,3.34,0.56,0.0,0.0,0.14,0.8,http://ufcstats.com/fighter-details/64959f90b6dd9759
Josh Jarvis,1,4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/32e8e0e8498f03c2
Rony Jason,14,7,67.0,145.0,73.0,Orthodox,1984-03-21,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8,http://ufcstats.com/fighter-details/b71ce838b01f2cad
Jasmine Jasudavicius,8,2,67.0,125.0,68.0,Orthodox,1989-03-01,2.92,0.4,3.85,0.51,2.5,0.41,0.72,0.0,http://ufcstats.com/fighter-details/a9e260472d321361
Louis Jauregui,4,2,67.0,170.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0e8744ded08ee5fb
Yazmin Jauregui,10,0,63.0,115.0,64.0,Orthodox,1999-02-28,6.35,0.41,4.23,0.57,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/40cb680ae1cd331f
Justin Jaynes,16,8,67.0,145.0,68.0,Orthodox,1989-08-10,3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1,http://ufcstats.com/fighter-details/304a21d0595e1a08
Joanna Jedrzejczyk,16,5,66.0,115.0,65.0,Orthodox,1987-08-18,6.28,0.48,3.25,0.62,0.27,0.62,0.8,0.1,http://ufcstats.com/fighter-details/3d6749c4267da18f
Aaron Jeffery,10,3,74.0,185.0,73.0,Orthodox,1992-11-14,3.1,0.45,4.46,0.34,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/ccdcb20370be62a3
Trent Jenkins,0,4,74.0,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/02fc8f50f56eb307
Bubba Jenkins,11,4,67.0,145.0,,,1988-02-05,2.41,0.37,1.58,0.67,7.23,0.68,1.0,0.0,http://ufcstats.com/fighter-details/5e841bb3752b6e86
Adrienna Jenkins,19,6,68.0,145.0,,,1981-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dae85a6a83f53215
Brandon Jenkins,15,9,72.0,155.0,71.0,Switch,1991-09-30,2.93,0.41,8.05,0.33,0.0,0.0,0.27,0.0,http://ufcstats.com/fighter-details/6a8928652fc01bee
Jack Jenkins,11,2,67.0,145.0,68.0,Switch,1993-11-03,4.54,0.69,2.27,0.58,4.07,0.72,0.8,0.0,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a
Steve Jennum,2,3,70.0,215.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ad047e3073a775f3
Ryan Jensen,21,8,73.0,185.0,76.0,Orthodox,1977-09-20,2.84,0.39,2.99,0.59,1.55,0.5,0.31,1.9,http://ufcstats.com/fighter-details/aae99701b21554e4
Kyle Jensen,4,11,69.0,170.0,,Orthodox,1979-07-20,0.0,0.0,0.92,0.6,6.92,1.0,0.0,6.9,http://ufcstats.com/fighter-details/aec273fcb765330d
Chan-Mi Jeon,5,2,65.0,115.0,,Orthodox,1997-08-28,6.23,0.31,7.77,0.55,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/24174a3f44ce8e03
Maciej Jewtuszko,12,3,72.0,155.0,,Southpaw,1981-01-31,2.29,0.45,1.39,0.66,0.0,0.0,0.42,0.9,http://ufcstats.com/fighter-details/6b5b9be990774f0e
Ronald Jhun,24,26,71.0,170.0,,Orthodox,1970-09-21,1.45,0.57,3.01,0.5,1.81,1.0,1.0,0.0,http://ufcstats.com/fighter-details/b9e871af730f826c
Ji Niushiyue,10,2,,125.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c14a683dac2ebc4c
Gilbert Jimenez,8,12,,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/59d36ddfcb27b7dc
Art Jimmerson,0,1,73.0,196.0,,Orthodox,1963-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a5c53b3ddb31cc7d
Ryan Jimmo,19,5,73.0,205.0,73.0,Orthodox,1981-11-27,3.12,0.66,2.77,0.46,0.45,0.28,0.87,0.0,http://ufcstats.com/fighter-details/bc3ec52ef70fc155
Jinensibieke Asikeerbai,36,11,66.0,155.0,69.0,Orthodox,1988-07-10,2.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4eccb78d628b2238
Sung Bin Jo,9,1,72.0,145.0,72.0,Orthodox,1992-07-17,1.4,0.33,2.67,0.51,1.0,0.33,0.83,1.0,http://ufcstats.com/fighter-details/6e0e977beb909837
Carls John De Tomas,6,2,65.0,125.0,71.0,Southpaw,1996-08-28,1.74,0.37,3.93,0.44,1.37,0.33,0.66,0.0,http://ufcstats.com/fighter-details/2a4200ead401a9ce
Phil Johns,30,14,62.0,170.0,,Southpaw,1968-10-22,1.2,0.66,1.8,0.5,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/a8fa0c4e95512806
Brett Johns,17,2,67.0,135.0,71.0,Orthodox,1992-02-21,2.86,0.49,3.84,0.53,4.92,0.49,0.58,1.0,http://ufcstats.com/fighter-details/ec52462a1b41f714
Miles Johns,13,2,67.0,135.0,66.0,Orthodox,1994-03-30,3.63,0.48,2.85,0.69,0.86,0.19,0.92,0.0,http://ufcstats.com/fighter-details/46e0d677f91bacc0
Anthony Johnson,22,6,74.0,205.0,78.0,Orthodox,1984-03-06,3.25,0.47,1.83,0.6,2.43,0.57,0.77,0.6,http://ufcstats.com/fighter-details/365fee2da473b177
DaMarques Johnson,15,15,73.0,170.0,75.0,Orthodox,1982-06-28,2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,http://ufcstats.com/fighter-details/322a56923b396b4d
Devin Johnson,1,1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/22f4b6cb6b1bd7fd
Travis Johnson,0,1,,205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/443835675e8fc6ca
Ricky Johnson,10,6,68.0,145.0,,Orthodox,,1.83,0.25,6.3,0.36,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/fa2fca260beeb9c0
Tony Johnson,11,3,73.0,265.0,,,,2.0,0.53,4.73,0.31,2.0,0.22,0.0,0.0,http://ufcstats.com/fighter-details/a45bab49951a45cd
Lavar Johnson,18,10,76.0,240.0,82.0,Orthodox,1977-06-11,5.39,0.55,2.54,0.55,0.61,0.66,0.54,0.6,http://ufcstats.com/fighter-details/e6c5908910cc26e4
Demetrious Johnson,27,3,63.0,125.0,66.0,Orthodox,1986-08-13,3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5,http://ufcstats.com/fighter-details/8a304bfd6bf04a57
Michael Johnson,22,18,70.0,155.0,73.0,Southpaw,1986-06-04,4.27,0.38,3.9,0.58,0.47,0.38,0.8,0.1,http://ufcstats.com/fighter-details/511e82663651438d
Deshaun Johnson,6,9,,167.0,,,,2.27,0.41,6.67,0.43,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bf97ad31eae89429
Kajan Johnson,23,13,71.0,155.0,75.0,Orthodox,1984-04-21,2.47,0.42,1.59,0.64,1.54,0.37,0.62,0.2,http://ufcstats.com/fighter-details/633a45d131192ffe
Dashon Johnson,9,2,67.0,145.0,,Orthodox,1988-01-25,1.01,0.69,3.83,0.35,0.85,0.33,0.63,0.8,http://ufcstats.com/fighter-details/36207c58e854cae5
Timothy Johnson,12,4,75.0,265.0,77.0,Southpaw,1985-03-13,3.43,0.45,3.08,0.44,1.09,0.24,0.69,0.0,http://ufcstats.com/fighter-details/cc900af167fbedfd
Jordan Johnson,10,0,74.0,205.0,79.0,Orthodox,1988-11-18,3.45,0.47,2.64,0.53,3.25,0.42,1.0,1.2,http://ufcstats.com/fighter-details/99bcdf5eac39898f
Taylor Johnson,5,1,72.0,185.0,74.0,Switch,1990-11-09,5.09,0.6,1.13,0.33,8.49,1.0,1.0,0.0,http://ufcstats.com/fighter-details/552b09cbf13b6328
Chad Johnson,6,2,74.0,230.0,80.0,Orthodox,1986-07-22,5.92,0.68,7.8,0.4,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6ce9a012e4c6020c
Jose Johnson,15,7,72.0,135.0,71.0,Orthodox,1995-05-20,2.17,0.63,1.33,0.55,0.5,0.5,0.3,0.5,http://ufcstats.com/fighter-details/84f727cf0166d6f2
Charles Johnson,13,4,69.0,125.0,70.0,Switch,1991-01-10,4.46,0.53,3.75,0.56,0.3,0.14,0.6,0.0,http://ufcstats.com/fighter-details/814e5233e2acf2ee
Brian Johnston,5,5,75.0,230.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1c3f5e85b59ec710
Liana Jojua,8,5,64.0,125.0,62.0,Orthodox,1995-03-22,2.42,0.3,5.32,0.54,1.71,0.66,0.5,1.3,http://ufcstats.com/fighter-details/eebc23626e38f5dc
Daniel Jolly,5,3,73.0,205.0,75.0,Orthodox,1984-09-03,1.32,0.46,3.39,0.44,2.83,0.33,0.5,0.0,http://ufcstats.com/fighter-details/eeabcd4dc6619129
Paul Jones,11,1,69.0,199.0,,Orthodox,1963-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f341f9551ba744e2
Jon Jones,27,1,76.0,205.0,84.0,Orthodox,1987-07-19,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,http://ufcstats.com/fighter-details/07f72a2a7591b409
Nathan Jones,0,1,83.0,345.0,,Orthodox,1970-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f54fb3b9c4228142
Marcus Jones,4,2,78.0,265.0,,Orthodox,1973-08-15,1.94,0.52,2.71,0.58,8.71,0.75,0.0,2.9,http://ufcstats.com/fighter-details/8fa2b06572365321
Carlton Jones,1,4,73.0,225.0,,Orthodox,,2.32,0.41,3.58,0.56,4.02,0.5,0.57,2.7,http://ufcstats.com/fighter-details/f117c3e8c1aa7b9e
Jesse Jones,2,1,69.0,170.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bc0f994de0521926
Tito Jones,11,8,68.0,145.0,,Southpaw,1981-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7b223a22a6c26868
Roy Jones,7,5,,205.0,,,1983-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/be8dfcf0442812b1
Justin Jones,9,2,71.0,185.0,,Orthodox,1987-09-06,1.7,0.36,3.17,0.45,1.0,0.15,0.46,0.5,http://ufcstats.com/fighter-details/9b75954db8db2a08
Ben Jones,4,4,,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/329aff8e958a2997
Victor Jones,1,3,,145.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/04f0471f221db717
Chris Jones,10,5,69.0,149.0,,,1981-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/509319d35664369e
Roshaun Jones,2,6,68.0,135.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8a9f54b9056b07f5
Jamelle Jones,7,5,72.0,205.0,75.0,Orthodox,1988-01-31,1.78,0.8,3.11,0.65,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1dda22d0ac3d1271
Antonio Jones,6,1,71.0,185.0,,Orthodox,1985-04-12,7.5,0.55,30.0,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f1fd494586ab8d5f
